graph,emb,dim,param,exec_time,landmarks,best_alpha,best_div,best_div_ext,best_div_int,best_alpha_auc,best_auc,best_auc_err
email,n2v,6,0.11,16.59,210,10.0,0.0466091152365641,0.0,0.0,9.75,0.0508999999999999,0.0043079529280622
email,n2v,6,9,21.97,210,10.0,0.0853193725677527,0.0,0.0,10.0,0.062,0.0047266488086169
email,n2v,8,1,21.47,210,10.0,0.0596904205106089,0.0,0.0,10.0,0.0526999999999999,0.0043793045422304
email,n2v,8,0.11,16.38,210,10.0,0.0352353685032818,0.0,0.0,10.0,0.0473,0.0041606839189729
email,n2v,8,9,17.53,210,10.0,0.07809659475561,0.0,0.0,10.0,0.0595999999999999,0.0046401873038057
email,n2v,10,1,16.01,210,10.0,0.0618727737580547,0.0,0.0,10.0,0.0472,0.0041565015320098
email,n2v,10,0.11,16.29,210,10.0,0.0202652956098104,0.0,0.0,10.0,0.0444999999999999,0.0040415822594622
email,n2v,10,9,15.79,210,10.0,0.0711936437898964,0.0,0.0,10.0,0.0528999999999999,0.0043871433546671
email,n2v,12,1,16.02,210,10.0,0.0626867403036621,0.0,0.0,10.0,0.0518999999999999,0.0043477726231255
email,n2v,12,0.11,14.28,210,10.0,0.0270929746195235,0.0,0.0,10.0,0.0395999999999999,0.0038223437383887
email,n2v,12,9,14.44,210,10.0,0.0465113403446553,0.0,0.0,10.0,0.0499,0.0042676717022751
email,n2v,14,1,16.87,210,10.0,0.0356809608738789,0.0,0.0,10.0,0.0496999999999999,0.0042595589238323
email,n2v,14,0.11,17.59,210,9.5,0.0179143964953719,0.0,0.0,10.0,0.0368,0.0036901006980298
email,n2v,14,9,21.84,210,10.0,0.041140566430978,0.0,0.0,10.0,0.0494999999999999,0.0042514270498269
email,n2v,16,1,19.42,210,10.0,0.0315437562470298,0.0,0.0,10.0,0.0472,0.0041565015320098
email,n2v,16,0.11,19.17,210,7.5,0.0175103659436222,0.0,0.0,9.5,0.0409,0.0038819476181937
email,n2v,16,9,18.75,210,10.0,0.0410712684732345,0.0,0.0,10.0,0.0463,0.0041186269616948
email,n2v,18,1,16.74,210,10.0,0.0183204806945258,0.0,0.0,10.0,0.0464999999999999,0.0041270800864533
email,n2v,18,0.11,18.07,210,8.75,0.0185496146625957,0.0,0.0,9.5,0.0387999999999999,0.0037851127023643
email,n2v,18,9,16.98,210,10.0,0.05087830511856,0.0,0.0,10.0,0.0431,0.0039804116046459
email,n2v,20,1,17.06,210,10.0,0.018815517420078,0.0,0.0,10.0,0.0419,0.0039270687366533
email,n2v,20,0.11,18.01,210,8.0,0.0183966086960321,0.0,0.0,9.5,0.0351,0.0036070385412967
email,n2v,20,9,15.41,210,10.0,0.0393479554068735,0.0,0.0,10.0,0.0453,0.0040760418429648
email,n2v,22,1,17.51,210,10.0,0.0191794835622851,0.0,0.0,10.0,0.0476999999999999,0.0041773623967283
email,n2v,22,0.11,15.72,210,7.0,0.0184897170461705,0.0,0.0,9.75,0.0395999999999999,0.0038223437383887
email,n2v,22,9,14.73,210,10.0,0.0397357495865638,0.0,0.0,10.0,0.043,0.0039759990140843
email,n2v,24,1,14.2,210,10.0,0.0216133269515931,0.0,0.0,10.0,0.0424999999999999,0.0039538476197243
email,n2v,24,0.11,14.31,210,6.0,0.0188290795665999,0.0,0.0,8.5,0.044,0.004019863957897
email,n2v,24,9,14.58,210,10.0,0.0360361090164783,0.0,0.0,10.0,0.0407999999999999,0.0038774011783151
email,n2v,26,1,18.22,210,9.0,0.0204440656836944,0.0,0.0,9.25,0.0492,0.0042391931941821
email,n2v,26,0.11,14.33,210,6.5,0.0201154928782808,0.0,0.0,8.75,0.0406999999999999,0.0038728484093235
email,n2v,26,9,15.06,210,10.0,0.0400952104012777,0.0,0.0,10.0,0.0454999999999999,0.0040846019096112
email,n2v,28,1,21.46,210,8.75,0.0208152803013437,0.0,0.0,10.0,0.0467999999999999,0.0041397204496922
email,n2v,28,0.11,16.03,210,6.75,0.0218115394025695,0.0,0.0,8.0,0.0429,0.0039715805536838
email,n2v,28,9,17.33,210,10.0,0.035078035800526,0.0,0.0,10.0,0.0425999999999999,0.003958289756751
email,n2v,30,1,17.23,210,9.0,0.0219009481176571,0.0,0.0,10.0,0.0416999999999999,0.0039180939265923
email,n2v,30,0.11,15.82,210,6.5,0.0226725868586316,0.0,0.0,8.0,0.0401,0.0038453976229253
email,n2v,30,9,15.52,210,10.0,0.0344086047418449,0.0,0.0,10.0,0.0429,0.0039715805536838
email,n2v,32,1,14.51,210,7.75,0.0220362131322896,0.0,0.0,9.75,0.0463,0.0041186269616948
email,n2v,32,0.11,16.18,210,6.25,0.0235422270959874,0.0,0.0,8.5,0.0413999999999999,0.0039045856536129
email,n2v,32,9,15.59,210,10.0,0.0400089729195281,0.0,0.0,10.0,0.0424999999999999,0.0039538476197243
